Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/16423/,2018/2019,6,6,24,17,24,96,55460,103.0,74.0,4.0,120.30999999999999
https://en.khl.ru/players/16423/,2019/2020,11,16,44,32,54,160,71455,92.0,112.0,5.0,192.05
https://en.khl.ru/players/16423/,2020/2021,6,12,27,40,51,103,57527,48.0,80.0,6.0,79.16
https://en.khl.ru/players/16441/,2018/2019,3,16,30,27,31,58,51700,31.0,41.0,10.0,114.58
https://en.khl.ru/players/16668/,2018/2019,2,10,33,15,44,83,42122,93.0,36.0,9.0,131.31
https://en.khl.ru/players/16668/,2019/2020,6,10,27,12,32,88,37385,55.0,25.0,7.0,126.85
https://en.khl.ru/players/16668/,2020/2021,6,11,38,25,87,111,52172,83.0,60.0,8.0,119.65
https://en.khl.ru/players/16675/,2018/2019,6,6,41,36,38,100,68424,64.0,60.0,4.0,95.61
https://en.khl.ru/players/16675/,2021/2022,2,10,25,16,27,48,53062,19.0,50.0,2.0,83.29
https://en.khl.ru/players/16683/,2017/2018,2,9,31,8,6,48,33976,15.0,11.0,2.0,109.91
https://en.khl.ru/players/16683/,2018/2019,5,9,29,10,8,56,37494,17.0,26.0,4.0,118.63
https://en.khl.ru/players/16683/,2019/2020,3,13,19,31,16,104,57620,27.0,37.0,6.0,79.87
https://en.khl.ru/players/16683/,2020/2021,3,13,23,43,26,76,60019,26.0,51.0,4.0,51.22
https://en.khl.ru/players/16804/,2014/2015,5,17,29,50,54,121,81074,69.0,61.0,7.0,86.0
https://en.khl.ru/players/16804/,2015/2016,4,8,34,41,32,110,70573,76.0,75.0,5.0,87.35
https://en.khl.ru/players/16804/,2018/2019,4,8,20,44,33,139,71851,55.0,47.0,2.0,38.86000000000001
https://en.khl.ru/players/16968/,2014/2015,3,9,16,14,32,39,34331,48.0,15.0,9.0,75.02
https://en.khl.ru/players/16968/,2016/2017,4,7,20,25,26,57,51235,91.0,39.0,4.0,72.04
https://en.khl.ru/players/17277/,2014/2015,7,16,33,35,44,139,72129,45.0,31.0,8.0,124.42
https://en.khl.ru/players/17277/,2015/2016,11,19,59,47,33,139,81681,23.0,54.0,8.0,184.28
https://en.khl.ru/players/17277/,2016/2017,6,25,36,37,22,116,71341,16.0,39.0,4.0,154.29
https://en.khl.ru/players/17277/,2017/2018,7,22,40,31,34,124,71307,31.0,36.0,13.0,180.8
https://en.khl.ru/players/17277/,2018/2019,8,28,47,46,65,172,75165,27.0,30.0,6.0,169.71
https://en.khl.ru/players/17277/,2019/2020,8,17,44,44,58,106,76427,18.0,37.0,2.0,103.67
https://en.khl.ru/players/17312/,2015/2016,4,12,25,26,12,73,58025,42.0,31.0,13.0,112.92
https://en.khl.ru/players/17312/,2016/2017,7,11,23,34,28,109,63348,86.0,47.0,18.0,121.28
https://en.khl.ru/players/17312/,2021/2022,3,10,29,19,12,83,45047,33.0,48.0,12.0,126.64
https://en.khl.ru/players/17330/,2014/2015,2,11,34,33,28,103,66963,41.0,46.0,3.0,90.31
https://en.khl.ru/players/17330/,2016/2017,5,11,27,22,16,70,48141,56.0,41.0,4.0,111.25999999999999
https://en.khl.ru/players/17330/,2017/2018,3,9,30,30,18,62,48486,29.0,44.0,3.0,75.39
https://en.khl.ru/players/17345/,2017/2018,1,12,30,24,22,51,45536,32.0,56.0,7.0,100.63
https://en.khl.ru/players/17360/,2014/2015,5,7,37,25,22,84,63919,128.0,40.0,6.0,133.98
https://en.khl.ru/players/17360/,2016/2017,5,11,21,29,26,93,58858,87.0,34.0,6.0,94.39
https://en.khl.ru/players/17414/,2018/2019,6,9,41,35,24,93,68158,59.0,68.0,1.0,111.36
https://en.khl.ru/players/17414/,2019/2020,4,7,46,44,38,100,74214,64.0,77.0,9.0,101.33999999999999
https://en.khl.ru/players/17429/,2017/2018,7,9,25,20,33,83,38572,36.0,59.0,5.0,102.22
https://en.khl.ru/players/17429/,2019/2020,2,11,25,23,33,74,44792,46.0,62.0,4.0,89.63
https://en.khl.ru/players/17457/,2017/2018,5,9,31,24,30,78,44550,29.0,52.0,5.0,97.89999999999999
https://en.khl.ru/players/17457/,2019/2020,6,11,21,30,24,140,59584,23.0,46.0,8.0,94.67
