Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R
https://en.khl.ru/players/14430/,2018/2019,2,4,18,15,8,43,28.0,28.0,4.0,1.2490194895311653
https://en.khl.ru/players/14430/,2019/2020,5,3,8,15,16,59,21.0,24.0,4.0,0.9957726632221701
https://en.khl.ru/players/14444/,2014/2015,11,9,31,17,20,56,40.0,8.0,15.0,2.5817823630048213
https://en.khl.ru/players/14444/,2015/2016,18,9,34,16,20,78,34.0,23.0,12.0,2.5087656797854985
https://en.khl.ru/players/14444/,2016/2017,8,3,14,14,10,55,27.0,15.0,11.0,1.448148247472445
https://en.khl.ru/players/14444/,2017/2018,7,14,25,16,4,73,41.0,16.0,10.0,2.562017080113867
https://en.khl.ru/players/14444/,2018/2019,3,2,9,13,10,23,19.0,18.0,6.0,0.8371031158838202
https://en.khl.ru/players/14444/,2019/2020,8,10,25,23,8,57,12.0,21.0,4.0,1.6477530640036315
https://en.khl.ru/players/14444/,2020/2021,5,3,9,15,6,31,21.0,8.0,1.0,1.4106583072100314
https://en.khl.ru/players/14444/,2021/2022,4,7,9,10,12,31,14.0,11.0,3.0,1.6878428430775
https://en.khl.ru/players/14466/,2014/2015,12,42,40,19,20,81,61.0,13.0,26.0,3.98039954768187
https://en.khl.ru/players/14466/,2015/2016,16,43,31,39,38,117,32.0,11.0,35.0,2.9348027985883225
https://en.khl.ru/players/14466/,2016/2017,26,50,58,25,22,96,29.0,6.0,27.0,5.555136521345602
https://en.khl.ru/players/14466/,2017/2018,9,16,21,9,8,41,15.0,3.0,5.0,4.2827478802561
https://en.khl.ru/players/14466/,2018/2019,20,48,49,27,30,115,59.0,16.0,22.0,3.36110646079353
https://en.khl.ru/players/14466/,2019/2020,17,48,67,33,28,110,37.0,31.0,16.0,3.519014675890751
https://en.khl.ru/players/14466/,2020/2021,20,47,56,28,22,131,34.0,13.0,17.0,3.812130816885175
https://en.khl.ru/players/14466/,2021/2022,24,43,46,35,47,130,27.0,14.0,14.0,4.0295982364099325
https://en.khl.ru/players/14478/,2014/2015,5,7,15,17,16,34,73.0,22.0,3.0,1.322791546297704
https://en.khl.ru/players/14478/,2015/2016,8,16,32,30,55,61,70.0,31.0,12.0,1.6362670444483796
https://en.khl.ru/players/14478/,2016/2017,8,15,30,26,45,62,36.0,35.0,10.0,1.713891338522296
https://en.khl.ru/players/14478/,2017/2018,2,4,11,15,16,32,53.0,22.0,8.0,0.8496864252478252
https://en.khl.ru/players/14478/,2018/2019,2,3,8,17,8,25,42.0,32.0,4.0,0.8106666666666666
https://en.khl.ru/players/14478/,2019/2020,2,2,6,10,22,21,15.0,16.0,6.0,0.5164357734240512
https://en.khl.ru/players/14503/,2014/2015,3,5,12,15,28,44,55.0,21.0,6.0,1.2348031556080643
https://en.khl.ru/players/14503/,2015/2016,4,5,13,12,34,75,51.0,38.0,14.0,1.3503806924292485
https://en.khl.ru/players/14503/,2016/2017,1,0,2,6,10,26,41.0,36.0,9.0,0.7379488196786351
https://en.khl.ru/players/14503/,2017/2018,5,2,11,14,18,38,80.0,79.0,5.0,1.506461928799852
https://en.khl.ru/players/14503/,2018/2019,6,3,18,15,18,37,65.0,77.0,6.0,2.296574935656306
