Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_R,predict
https://en.khl.ru/players/13859/,2016/2017,10,2,16,18,6,33,45.0,10.0,3.0,1.6677145031600544,https://en.khl.ru/players/13859/,2017/2018,2.0,3.0,6.0,9.0,16.0,40.0,38.0,10.0,6.0,0.8572922111866179,1.3273152578106824
https://en.khl.ru/players/13859/,2017/2018,2,3,6,9,16,40,38.0,10.0,6.0,0.8572922111866179,https://en.khl.ru/players/13859/,2018/2019,3.0,5.0,13.0,29.0,14.0,52.0,61.0,21.0,10.0,0.5058651026392962,1.0551094072981846
https://en.khl.ru/players/13877/,2014/2015,3,9,13,22,22,44,21.0,8.0,8.0,0.9320070854339828,https://en.khl.ru/players/13877/,2015/2016,7.0,6.0,18.0,24.0,18.0,38.0,16.0,6.0,10.0,0.9158926728586172,1.2132036807217457
https://en.khl.ru/players/13877/,2015/2016,7,6,18,24,18,38,16.0,6.0,10.0,0.9158926728586172,https://en.khl.ru/players/13877/,2016/2017,4.0,8.0,20.0,22.0,18.0,34.0,17.0,17.0,9.0,1.2052064920456371,1.1857979858202423
https://en.khl.ru/players/13916/,2014/2015,8,4,13,26,18,88,24.0,14.0,23.0,1.4097292679019595,https://en.khl.ru/players/13916/,2015/2016,13.0,10.0,24.0,22.0,16.0,91.0,17.0,13.0,18.0,2.0820379099388227,1.9173052924007252
https://en.khl.ru/players/13916/,2015/2016,13,10,24,22,16,91,17.0,13.0,18.0,2.0820379099388227,https://en.khl.ru/players/13916/,2016/2017,8.0,7.0,14.0,14.0,4.0,42.0,12.0,12.0,14.0,2.1294607970825736,1.9072457499945252
https://en.khl.ru/players/13916/,2016/2017,8,7,14,14,4,42,12.0,12.0,14.0,2.1294607970825736,https://en.khl.ru/players/13916/,2017/2018,9.0,24.0,26.0,32.0,12.0,109.0,25.0,17.0,18.0,2.173197234112611,2.123398904853601
https://en.khl.ru/players/13946/,2014/2015,8,6,17,14,33,83,67.0,7.0,18.0,2.3540272328640666,https://en.khl.ru/players/13946/,2016/2017,6.0,9.0,22.0,12.0,8.0,59.0,23.0,14.0,10.0,2.8116803636999474,2.1149397536120635
https://en.khl.ru/players/13946/,2016/2017,6,9,22,12,8,59,23.0,14.0,10.0,2.8116803636999474,https://en.khl.ru/players/13946/,2017/2018,6.0,6.0,17.0,24.0,52.0,80.0,47.0,17.0,8.0,1.1512535029917443,1.5971827188494967
https://en.khl.ru/players/13946/,2017/2018,6,6,17,24,52,80,47.0,17.0,8.0,1.1512535029917443,https://en.khl.ru/players/13946/,2018/2019,5.0,8.0,15.0,16.0,20.0,98.0,75.0,15.0,7.0,1.5630614444843691,1.507923224525964
